Name,Release Year,Rating
The Treasure of the Sierra Madre,(1948),8.2
The Gold Rush,(1925),8.2
Portrait de la jeune fille en feu,(2019),8.1
Ah-ga-ssi,(2016),8.1
Logan,(2017),8.1
Room,(I) (2015),8.1
Relatos salvajes,(2014),8.1
PK,(2014),8.1
Gone Girl,(2014),8.1
Hacksaw Ridge,(2016),8.1
Inside Out,(I) (2015),8.1
12 Years a Slave,(2013),8.1
Rush,(I) (2013),8.1
Ford v Ferrari,(2019),8.1
Spotlight,(I) (2015),8.1
The Help,(2011),8.1
Prisoners,(2013),8.1
Gran Torino,(2008),8.1
Harry Potter and the Deathly Hallows: Part 2,(2011),8.1
Hachi: A Dog's Tale,(2009),8.1
Mary and Max,(2009),8.1
Into the Wild,(2007),8.1
No Country for Old Men,(2007),8.1
Million Dollar Baby,(2004),8.1
Hotel Rwanda,(2004),8.1
Salinui chueok,(2003),8.1
Catch Me If You Can,(2002),8.1
Amores perros,(2000),8.1
The Sixth Sense,(1999),8.1
The Truman Show,(1998),8.1
Fa yeung nin wah,(2000),8.1
Trainspotting,(1996),8.1
Fargo,(1996),8.1
La haine,(1995),8.1
Before Sunrise,(1995),8.1
In the Name of the Father,(1993),8.1
Dead Poets Society,(1989),8.1
Stand by Me,(1986),8.1
Platoon,(1986),8.1
"Paris, Texas",(1984),8.1
Fanny och Alexander,(1982),8.1
The Elephant Man,(1980),8.1
The Deer Hunter,(1978),8.1
Rocky,(1976),8.1
Network,(1976),8.1
Barry Lyndon,(1975),8.1
Cool Hand Luke,(1967),8.1
Persona,(1966),8.1
Andrei Rublev,(1966),8.1
La battaglia di Algeri,(1966),8.1
Les quatre cents coups,(1959),8.1
Ben-Hur,(1959),8.1
Kumonosu-jô,(1957),8.1
The Bridge on the River Kwai,(1957),8.1
On the Waterfront,(1954),8.1
Le salaire de la peur,(1953),8.1
Rebecca,(1940),8.1
Mr. Smith Goes to Washington,(1939),8.1
Gone with the Wind,(1939),8.1
La passion de Jeanne d'Arc,(1928),8.1
The General,(1926),8.1
Before Sunset,(2004),8.0
